train_fraction,split_method,group_column,split,reaction_id,group_value
0.01,random,,train,reactions_1007,
0.01,random,,train,reactions_237,
0.01,random,,train,reactions_2899,
0.01,random,,train,reactions_1531,
0.01,random,,train,reactions_3224,
0.01,random,,train,reactions_3667,
0.01,random,,train,reactions_2836,
0.01,random,,train,reactions_630,
0.01,random,,train,reactions_498,
0.01,random,,train,reactions_1976,
0.01,random,,train,reactions_1550,
0.01,random,,train,reactions_1887,
0.01,random,,train,reactions_688,
0.01,random,,train,reactions_2376,
0.01,random,,train,reactions_1697,
0.01,random,,train,reactions_184,
0.01,random,,train,reactions_675,
0.01,random,,train,reactions_1196,
0.01,random,,train,reactions_279,
0.01,random,,train,reactions_2095,
0.01,random,,train,reactions_3934,
0.01,random,,train,reactions_2178,
0.01,random,,train,reactions_539,
0.01,random,,train,reactions_1945,
0.01,random,,train,reactions_2830,
0.01,random,,train,reactions_519,
0.01,random,,train,reactions_3108,
0.01,random,,train,reactions_486,
0.01,random,,train,reactions_1635,
0.01,random,,train,reactions_2917,
0.01,random,,train,reactions_2340,
0.01,random,,valid,reactions_2729,
0.01,random,,valid,reactions_2059,
0.01,random,,valid,reactions_2670,
0.01,random,,valid,reactions_1066,
0.01,random,,valid,reactions_3722,
0.01,random,,valid,reactions_1488,
0.01,random,,valid,reactions_1382,
0.01,random,,valid,reactions_2352,
0.01,random,,valid,reactions_1508,
0.01,random,,valid,reactions_3769,
0.01,random,,valid,reactions_3907,
0.01,random,,valid,reactions_2966,
0.01,random,,valid,reactions_3223,
0.01,random,,valid,reactions_633,
0.01,random,,valid,reactions_1957,
0.01,random,,valid,reactions_1296,
0.01,random,,valid,reactions_2461,
0.01,random,,valid,reactions_1602,
0.01,random,,valid,reactions_1108,
0.01,random,,valid,reactions_1113,
0.01,random,,valid,reactions_932,
0.01,random,,valid,reactions_255,
0.01,random,,valid,reactions_415,
0.01,random,,valid,reactions_2452,
0.01,random,,valid,reactions_2653,
0.01,random,,valid,reactions_779,
0.01,random,,valid,reactions_311,
0.01,random,,valid,reactions_909,
0.01,random,,valid,reactions_17,
0.01,random,,valid,reactions_2000,
0.01,random,,valid,reactions_3076,
0.01,random,,valid,reactions_2276,
0.01,random,,valid,reactions_1287,
0.01,random,,valid,reactions_2197,
0.01,random,,valid,reactions_698,
0.01,random,,valid,reactions_1150,
0.01,random,,valid,reactions_834,
0.01,random,,valid,reactions_1380,
0.01,random,,valid,reactions_385,
0.01,random,,valid,reactions_1153,
0.01,random,,valid,reactions_929,
0.01,random,,valid,reactions_632,
