schema_version,evaluation_unit,seed,train_fraction,dataset_hash,labeled_train_row_count,hidden_outer_train_row_count,validation_row_count,test_row_count,labeled_train_identity_count,hidden_outer_train_identity_count,labeled_train_identity_hash,hidden_outer_train_identity_hash,quarantine_identity_hash,labeled_train_source_id_hash
bh-low-data-partitions-v1,canonical-random:seed=6:fraction=0.01,6,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,e767c2238d5b2bce9b70ecc016f8a8fdc923b983864aedef2e7c97d80e7cf604,a8609974e066be106629c3998752f61c4d41c0bca0764bf5bcf9bec0c56d68e7,a12c591aa0aff91bb730523c0736922332941dcd415b3c811ce5bf6d33550317,146c5b936ad3c471bb1a1cfe4489a8a1d94f58b7b654d9b930f7adda3e7a35d0
bh-low-data-partitions-v1,canonical-random:seed=6:fraction=0.1,6,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,34f5bc3261ebcd77d396c9de9e01275d9eea73bc0ea624b6a473a9d9f9cca5fa,d4faf2dc201728e69e09dcdeea28ac20d70008cf1a4b797b6e7409d087c29972,a12c591aa0aff91bb730523c0736922332941dcd415b3c811ce5bf6d33550317,2d1ec4d5d428264be7256900a1b2e7ccaa9157a1ff6eb587660885cd3f29dcc3
bh-low-data-partitions-v1,canonical-random:seed=7:fraction=0.01,7,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,56eb455f39edab0cff99c34d31efb0303a66eb45ac1887fcbe7449cb4721fd5e,894424b6ef61abd72199f375e01ed72995afb994fa459d38a7e8160b58ed140f,a4fa25e57bb502a56fb87e1f0eb15ad18614ea67dd63c26fc55dff2e3191065c,b4014ca20d80dde7b6ff38e8d561a684e3c9e61bfec25230778b3ea9c1536147
bh-low-data-partitions-v1,canonical-random:seed=7:fraction=0.1,7,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,41796a379feca90eff978d61be4901499ab20d056d4d75731ca4e82f44407dca,b97bf3cebb99ce05b1eb766841e945fd37065789dcd98a4535f7b718b4c34f1c,a4fa25e57bb502a56fb87e1f0eb15ad18614ea67dd63c26fc55dff2e3191065c,517a75ef4ee426652a7e9037c3b87fc355cbf0fe1d67d4ad3bea0f6cde9e27e4
bh-low-data-partitions-v1,canonical-random:seed=8:fraction=0.01,8,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,c7633e28ac81032bbf3470f7bdbe62cc9011ad30432233e7a560828a6df896a8,a77ea3b13ada9c76922a642a09a2b5fb0419cce500d19bb91a3ab841f03e6283,cc7f1937e5f7e02f20d35a0aa86f0cf4fb5dda961e1c52af73e3f5a74fe03710,7d12084b4d2049df794012b73d861f449c2caa3890445344be031c6175de3295
bh-low-data-partitions-v1,canonical-random:seed=8:fraction=0.1,8,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,11dc5e3098fa9407dddfacbacfc27be43866e6a169b14a387c0d2640e85650e6,c66083578bd564da4946083cc40715da3819268859ae56f511fcefc36689cb10,cc7f1937e5f7e02f20d35a0aa86f0cf4fb5dda961e1c52af73e3f5a74fe03710,4d315c18f212ad6884a4fdce7281aef0ebcdb66fda91bdbc3713db11fb6a423a
bh-low-data-partitions-v1,canonical-random:seed=9:fraction=0.01,9,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,b8d2bebf482d7799cb37caefc7c7b971ee441a39e70c26426c768de165f12a7f,ba9c4576a98a490e7f7008eaaedd90bff4177536b4216ceab597e028b794decc,8909b7f3589d9f0b1824398cd5b191a036becf2928e423ee724834a813de698c,2b5cfb03d61cf40e1d49e3265bf20a6961289cf759cedfde6a06e35eeb834834
bh-low-data-partitions-v1,canonical-random:seed=9:fraction=0.1,9,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,1428722586874cf82cd6000dba2782f1910415c321ccc2518da4d16adc321d04,4db4b409e24da2f1de7b3a821fe35418526ed6ef283885c95d61f0af4f62478e,8909b7f3589d9f0b1824398cd5b191a036becf2928e423ee724834a813de698c,1fcd705501415186bfabc2b4715923ab5e2f5e4f5316bb80b300cbbc577c57df
bh-low-data-partitions-v1,canonical-random:seed=10:fraction=0.01,10,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,6e1851194282cc70806b9708d7735ad4e0627364b1ce9b0f7d381d119d45aadb,6d7a9f83025395aff41bd36a12a6c7ef343441ea39d066231bbd45fe710ca6f7,87a50ce06e7872843a7f11b5f3e47b47477d286b2b0bfe3dda0a8d02e44bc756,b168798b58a903fe0ec87c0a17d0aba4d878f60fba95655cea5197d0fe3708e0
bh-low-data-partitions-v1,canonical-random:seed=10:fraction=0.1,10,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,7eb0fc51ee3a82fa1127b529000f355786c12adbb68d6937821b37cf74fd3bf8,2cad35789f7142265aa204335dac9cc1e3d46d8e1fd15dab88da83708c3d3f55,87a50ce06e7872843a7f11b5f3e47b47477d286b2b0bfe3dda0a8d02e44bc756,8ade27769aaff1e2333bd57356f2609e364bd4366087b38035dd9e26eb1598b6
